type,title,date_added,release_year,rating,listed_in
Movie,**Prem Ratan Dhan Payo**,6/25/2020,2015,",?TV-14","Action & Adventure, Dramas, International Movies"
Movie,**Vivah**,6/25/2020,2006,",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**Athlete A**,6/24/2020,2020,",?PG-13","Documentaries, Sports Movies"
Movie,**Bulbbul**,6/24/2020,2020c,",?TV-MA","Horror Movies, International Movies"
Movie,**Nobody Knows I'm Here**,6/24/2020,2020,",?TV-MA","Dramas, Independent Movies, International Movies"
Movie,**Eric Andre: Legalize Everything**,6/23/2020,2020,",?TV-MA",Stand-Up Comedy
Movie,**Kappela**,6/22/2020,2020C,",?TV-14","Dramas, Independent Movies, International Movies"
Movie,**The Royal Hibiscus Hotel**,6/22/2020,2017c,",?TV-PG","Comedies, International Movies, Romantic Movies"
Movie,**Woodshock**,6/21/2020,2017s,",?R","Dramas, Independent Movies, Thrillers"
Movie,**Elevator Baby**,6/20/2020,2019,",?TV-MA","Dramas, International Movies"
Movie,**Chaman Bahaar**,6/19/2020,2020(,",?TV-MA","Comedies, Dramas, International Movies"
Movie,**Destiny**,6/19/2020,1997(,",?TV-14","Dramas, International Movies"
Movie,**Feel the Beat**,6/19/2020,2020c,",?TV-G","Children & Family Movies, Comedies, Dramas"
Movie,**Lost Bullet**,6/19/2020,2020S,",?TV-MA","Action & Adventure, Dramas, International Movies"
Movie,**El límite infinito**,6/18/2020,2020,",?TV-PG","Documentaries, International Movies, Sports Movies"
Movie,**One-Way to Tomorrow**,6/19/2020,2020,",?TV-MA","Dramas, International Movies, Romantic Movies"
Movie,**The Emigrant**,6/19/2020,1994,",?TV-14","Dramas, International Movies"
Movie,**Wasp Network**,6/19/2020,2020,",?TV-MA","Dramas, International Movies, Thrillers"
Movie,**A Whisker Away**,6/18/2020,2020s,",?TV-PG","Anime Features, Children & Family Movies, International Movies"
Movie,**Alexandria ... Why?**,6/18/2020,1979,",?TV-MA","Classic Movies, Dramas, International Movies"
Movie,**Alexandria: Again and Forever**,6/18/2020,1989S,",?TV-MA","Classic Movies, Dramas, International Movies"
Movie,**An Egyptian Story**,6/18/2020,1982),",?TV-MA","Classic Movies, Dramas, Independent Movies"
Movie,**Cairo Station**,6/18/2020,1958(,",?TV-14","Classic Movies, Dramas, International Movies"
Movie,**Dark Waters**,6/18/2020,1956C,",?TV-14","Classic Movies, Dramas, International Movies"
Movie,**Lola Igna**,6/18/2020,2019),",?TV-14","Comedies, International Movies"
Movie,**One Take**,6/18/2020,2020S,",?TV-G","Documentaries, International Movies, Music & Musicals"
Movie,**Saladin**,6/18/2020,1963,",?TV-MA","Action & Adventure, Classic Movies, Dramas"
Movie,**Stray Bullet**,6/18/2020,2010,",?TV-MA","Dramas, International Movies, Romantic Movies"
Movie,**The Blazing Sun**,6/18/2020,1954C,",?TV-14","Classic Movies, Dramas, International Movies"
Movie,**The Land**,6/18/2020,1970S,",?TV-MA","Classic Movies, Dramas, International Movies"
Movie,**The Nut Job**,6/18/2020,2014S,",?PG","Children & Family Movies, Comedies"
Movie,**City of Joy**,09/07/2018,2018c,",?TV-MA",Documentaries
Movie,**An Evening with Beverly Luff Linn**,6/17/2020,2018,",?R","Comedies, Independent Movies"
Movie,**Riding Faith**,6/17/2020,2020(,",?TV-PG","Children & Family Movies, Dramas, Faith & Spirituality"
Movie,**Last Flight to Abuja**,6/16/2020,2012(,",?TV-14","Dramas, International Movies"
Movie,**The Darkness**,6/16/2020,2016s,",?PG-13","Horror Movies, Thrillers"
Movie,**Underdogs**,6/15/2020,2013s,",?PG","Children & Family Movies, Sports Movies"
Movie,**Wira**,6/15/2020,2019C,",?TV-14","Action & Adventure, Dramas, International Movies"
Movie,**4th Republic**,6/13/2020,2019(,",?TV-MA","Dramas, International Movies, Thrillers"
Movie,**Asura Guru**,6/13/2020,2020),",?TV-14","Dramas, International Movies"
Movie,**Milea**,6/13/2020,2020c,",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**Axone**,06/12/2020,2020s,",?TV-MA","Comedies, Dramas, Independent Movies"
Movie,**Da 5 Bloods**,06/12/2020,2020,",?R","Action & Adventure, Dramas"
Movie,**Okko's Inn**,06/12/2020,2018C,",?PG","Anime Features, Children & Family Movies"
Movie,**From A to B**,06/11/2020,2014,",?TV-MA","Comedies, Dramas, International Movies"
Movie,**Menahi**,06/11/2020,2008s,",?TV-14","Comedies, International Movies"
TV Show,**DC's Legends of Tomorrow**,06/10/2020,2020s,",?TV-14","TV Action & Adventure, TV Sci-Fi & Fantasy"
Movie,**Middle Men**,06/10/2020,2009c,",?R","Comedies, Dramas, Independent Movies"
Movie,**The Witch: Part 1 - The Subversion**,06/10/2020,2018,",?TV-MA","Action & Adventure, International Movies, Sci-Fi & Fantasy"
Movie,**Before I Fall**,06/08/2020,2017C,",?PG-13","Dramas, Romantic Movies"
Movie,**365 Days**,06/07/2020,2020,",?TV-MA","Dramas, International Movies, Romantic Movies"
Movie,**Forensic**,06/07/2020,2020s,",?TV-14","International Movies, Thrillers"
Movie,**Project Papa**,06/07/2020,2018(,",?TV-14","Dramas, Independent Movies, International Movies"
Movie,**The Night Clerk**,06/06/2020,2020(,",?R","Dramas, Independent Movies"
Movie,**Before the Summer Crowds**,06/05/2020,2016c,",?TV-14","Dramas, International Movies"
Movie,**Big Stone Gap**,06/05/2020,2014,",?PG-13","Comedies, Romantic Movies"
Movie,**Choked: Paisa Bolta Hai**,06/05/2020,2020,",?TV-14","Dramas, International Movies"
Movie,**Merry Men 2: Another Mission**,06/05/2020,2019(,",?TV-MA","Comedies, International Movies"
TV Show,**Supernatural**,06/05/2020,2019s,",?TV-14","Classic & Cult TV, TV Action & Adventure, TV Horror"
